country,year,gender,population,num_of_incidence,per_of_incidence,incidence_rate,weight_35f,weight_30f,weight_25f,cholesterol_level,diabetes_level,hypertension_level,smoking_level,obesity_level,country_year_gender
Portugal,2002,Female,5391273.5,10133.774662383932,0.0004819060167034,187.96625068982183,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.84,33.8,,,Portugal_2002_Female
Portugal,2003,Female,5416486.5,9970.840896297355,0.000472464568421,184.0831855908319,0.9076274377991981,0.7779663752564555,0.648305312713713,5.2,4.9,33.6,,,Portugal_2003_Female
Portugal,2004,Female,5433335.5,9635.08562562917,0.0004539307695662,177.33279355985232,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,4.96,33.3,,,Portugal_2004_Female
Portugal,2005,Female,5447062.5,9430.476909369972,0.0004436940475258,173.12958882645412,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.01,33.0,,,Portugal_2005_Female
Portugal,2006,Female,5460684.0,9203.30052763875,0.0004325523126742,168.53750423278018,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.05,32.7,11.0,16.1,Portugal_2006_Female
Portugal,2007,Female,5475892.5,8900.200931771895,0.000418853814747,162.53425230265012,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.08,32.3,,,Portugal_2007_Female
Portugal,2008,Female,5490183.5,8537.419918891454,0.0004020284520787,155.50336193483247,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.1,32.0,,,Portugal_2008_Female
Portugal,2009,Female,5503254.5,8173.012029369462,0.0003865902858991,148.51233991394477,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.1,31.6,,,Portugal_2009_Female
Portugal,2010,Female,5514456.0,7911.688696466732,0.0003746287286658,143.47178935631607,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.1,31.3,,,Portugal_2010_Female
Portugal,2011,Female,5524164.0,7664.2631973312355,0.0003622755290002,138.74068904057222,0.9076274377991981,0.7779663752564555,0.648305312713713,5.1,5.09,30.9,,,Portugal_2011_Female
